source,title,link,description,date,scraped_at,ministry
Microsoft Research Blog,PadChest-GR: A bilingual grounded radiology reporting benchmark for chest X-rays,https://www.microsoft.com/en-us/research/blog/padchest-gr-a-bilingual-grounded-radiology-reporting-benchmark-for-chest-x-rays/,,,2025-07-09 04:45:46,
Microsoft Research Blog,PadChest-GR: A bilingual grounded radiology reporting benchmark for chest X-rays,https://www.microsoft.com/en-us/research/blog/padchest-gr-a-bilingual-grounded-radiology-reporting-benchmark-for-chest-x-rays/,,,2025-07-09 04:45:46,
Microsoft Research Blog,Recent Posts,,,,2025-07-09 04:45:46,
Microsoft Research Blog,PadChest-GR: A bilingual grounded radiology reporting benchmark for chest X-rays,https://www.microsoft.com/en-us/research/blog/padchest-gr-a-bilingual-grounded-radiology-reporting-benchmark-for-chest-x-rays/,"The world’s first multimodal, bilingual radiology dataset could reshape the way radiologists and AI systems make sense of X-rays. PadChest-GR, developed by the University of Alicante with Microsoft Research, has the potential to advance research across the field for years to come.",,2025-07-09 04:45:46,
Microsoft Research Blog,PadChest-GR: A bilingual grounded radiology reporting benchmark for chest X-rays,https://www.microsoft.com/en-us/research/blog/padchest-gr-a-bilingual-grounded-radiology-reporting-benchmark-for-chest-x-rays/,"The world’s first multimodal, bilingual radiology dataset could reshape the way radiologists and AI systems make sense of X-rays. PadChest-GR, developed by the University of Alicante with Microsoft Research, has the potential to advance research across the field for years to come.",,2025-07-09 04:45:46,
Microsoft Research Blog,Learning from other domains to advance AI evaluation and testing,https://www.microsoft.com/en-us/research/blog/learning-from-other-domains-to-advance-ai-evaluation-and-testing/,"As generative AI becomes more capable and widely deployed, familiar questions from the governance of other transformative technologies have resurfaced. Which opportunities, capabilities, risks, and impacts should be evaluated? Who should conduct evaluations, and at what stages of the technology lifecycle? What tests or measurements…",,2025-07-09 04:45:46,
Microsoft Research Blog,Learning from other domains to advance AI evaluation and testing,https://www.microsoft.com/en-us/research/blog/learning-from-other-domains-to-advance-ai-evaluation-and-testing/,"As generative AI becomes more capable and widely deployed, familiar questions from the governance of other transformative technologies have resurfaced. Which opportunities, capabilities, risks, and impacts should be evaluated? Who should conduct evaluations, and at what stages of the technology lifecycle? What tests or measurements…",,2025-07-09 04:45:46,
Microsoft Research Blog,"Breaking bonds, breaking ground: Advancing the accuracy of computational chemistry with deep learning",https://www.microsoft.com/en-us/research/blog/breaking-bonds-breaking-ground-advancing-the-accuracy-of-computational-chemistry-with-deep-learning/,"Microsoft researchers achieved a breakthrough in the accuracy of DFT, a method for predicting the properties of molecules and materials, by using deep learning. This work can lead to better batteries, green fertilizers, precision drug discovery, and more.",,2025-07-09 04:45:46,
Microsoft Research Blog,"Breaking bonds, breaking ground: Advancing the accuracy of computational chemistry with deep learning",https://www.microsoft.com/en-us/research/blog/breaking-bonds-breaking-ground-advancing-the-accuracy-of-computational-chemistry-with-deep-learning/,"Microsoft researchers achieved a breakthrough in the accuracy of DFT, a method for predicting the properties of molecules and materials, by using deep learning. This work can lead to better batteries, green fertilizers, precision drug discovery, and more.",,2025-07-09 04:45:46,
Microsoft Research Blog,New methods boost reasoning in small and large language models,https://www.microsoft.com/en-us/research/blog/new-methods-boost-reasoning-in-small-and-large-language-models/,"New techniques are reimagining how LLMs reason. By combining symbolic logic, mathematical rigor, and adaptive planning, these methods enable models to tackle complex, real-world problems across a variety of fields.",,2025-07-09 04:45:46,
Microsoft Research Blog,New methods boost reasoning in small and large language models,https://www.microsoft.com/en-us/research/blog/new-methods-boost-reasoning-in-small-and-large-language-models/,"New techniques are reimagining how LLMs reason. By combining symbolic logic, mathematical rigor, and adaptive planning, these methods enable models to tackle complex, real-world problems across a variety of fields.",,2025-07-09 04:45:46,
Microsoft Research Blog,Rewriting SymCrypt in Rust to modernize Microsoft’s cryptographic library,https://www.microsoft.com/en-us/research/blog/rewriting-symcrypt-in-rust-to-modernize-microsofts-cryptographic-library/,"We're rewriting parts of Microsoft's SymCrypt cryptographic library in Rust to improve memory safety and defend against side-channel attacks, enabling formal verification while maintaining backward compatibility via a Rust-to-C compiler.",,2025-07-09 04:45:46,
Microsoft Research Blog,Rewriting SymCrypt in Rust to modernize Microsoft’s cryptographic library,https://www.microsoft.com/en-us/research/blog/rewriting-symcrypt-in-rust-to-modernize-microsofts-cryptographic-library/,"We're rewriting parts of Microsoft's SymCrypt cryptographic library in Rust to improve memory safety and defend against side-channel attacks, enabling formal verification while maintaining backward compatibility via a Rust-to-C compiler.",,2025-07-09 04:45:46,
Microsoft Research Blog,BenchmarkQED: Automated benchmarking of RAG systems,https://www.microsoft.com/en-us/research/blog/benchmarkqed-automated-benchmarking-of-rag-systems/,"BenchmarkQED is an open-source toolkit for benchmarking RAG systems using automated query generation, evaluation, and dataset prep. It shows that LazyGraphRAG outperforms standard methods, especially on complex, global queries.",,2025-07-09 04:45:46,
Microsoft Research Blog,BenchmarkQED: Automated benchmarking of RAG systems,https://www.microsoft.com/en-us/research/blog/benchmarkqed-automated-benchmarking-of-rag-systems/,"BenchmarkQED is an open-source toolkit for benchmarking RAG systems using automated query generation, evaluation, and dataset prep. It shows that LazyGraphRAG outperforms standard methods, especially on complex, global queries.",,2025-07-09 04:45:46,
Microsoft Research Blog,FrodoKEM: A conservative quantum-safe cryptographic algorithm,https://www.microsoft.com/en-us/research/blog/frodokem-a-conservative-quantum-safe-cryptographic-algorithm/,"The recent advances in quantum computing offer many advantages—but also challenge current cryptographic strategies. Learn how FrodoKEM could help strengthen security, even in a future with powerful quantum computers.",,2025-07-09 04:45:46,
Microsoft Research Blog,FrodoKEM: A conservative quantum-safe cryptographic algorithm,https://www.microsoft.com/en-us/research/blog/frodokem-a-conservative-quantum-safe-cryptographic-algorithm/,"The recent advances in quantum computing offer many advantages—but also challenge current cryptographic strategies. Learn how FrodoKEM could help strengthen security, even in a future with powerful quantum computers.",,2025-07-09 04:45:46,
Microsoft Research Blog,"Magentic-UI, an experimental human-centered web agent",https://www.microsoft.com/en-us/research/blog/magentic-ui-an-experimental-human-centered-web-agent/,"Magentic-UI, new from Microsoft Research, is an open-source research prototype of a human-centered AI agent, designed to work with people to complete complex, web-based tasks in real time over a web browser.",,2025-07-09 04:45:46,
